PIXEL,LABEL
139147,Upper St. Clair Municipality
139148,Upper St. Clair Municipality
139149,Upper St. Clair Municipality
139150,Upper St. Clair Municipality
139151,Upper St. Clair Municipality
139152,Upper St. Clair Municipality
139153,Upper St. Clair Municipality
139154,Bethel Park Municipality
139154,Upper St. Clair Municipality
139155,
140111,
140112,Marshall Township
140113,Marshall Township
140114,Marshall Township
140115,Marshall Township
140116,Bradford Woods Borough
140116,Marshall Township
140117,Bradford Woods Borough
140117,Marshall Township
140118,Marshall Township
140119,Franklin Park Borough
140119,Marshall Township
140120,Franklin Park Borough
140121,Franklin Park Borough
140122,Franklin Park Borough
140123,Franklin Park Borough
140124,Franklin Park Borough
140125,Franklin Park Borough
140126,Franklin Park Borough
140126,Ohio Township
140127,Franklin Park Borough
140127,Ohio Township
140128,Ohio Township
140129,Kilbuck Township
140129,Ohio Township
140130,Ben Avon Borough
140130,Ben Avon Heights Borough
140130,Kilbuck Township
140130,Ohio Township
140131,Avalon Borough
140131,Ben Avon Borough
140131,Ben Avon Heights Borough
140131,Kilbuck Township
140132,Avalon Borough
140132,Ben Avon Borough
140132,Neville Township
140133,Neville Township
140133,Stowe Township
140134,Stowe Township
140135,Kennedy Township
140135,McKees Rocks Borough
140135,Stowe Township
140136,Kennedy Township
140136,McKees Rocks Borough
140136,Pittsburgh
140137,Ingram Borough
140137,Pittsburgh
140138,Crafton Borough
140138,Ingram Borough
140138,Pittsburgh
140139,Crafton Borough
140139,Pittsburgh
140139,Thornburg Borough
140140,Crafton Borough
140140,Green Tree Borough
140140,Pittsburgh
140141,Green Tree Borough
140141,Pittsburgh
140141,Rosslyn Farms Borough
140141,Scott Township
140142,Carnegie Borough
140142,Green Tree Borough
140142,Scott Township
140143,Carnegie Borough
140143,Scott Township
140144,Mount Lebanon
140144,Scott Township
140145,Mount Lebanon
140145,Scott Township
140146,Mount Lebanon
140146,Scott Township
140147,Mount Lebanon
140147,Scott Township
140147,Upper St. Clair Municipality
140148,Upper St. Clair Municipality
140149,Upper St. Clair Municipality
140150,Upper St. Clair Municipality
140151,Bethel Park Municipality
140151,Upper St. Clair Municipality
140152,Bethel Park Municipality
140152,Upper St. Clair Municipality
140153,Bethel Park Municipality
140153,Upper St. Clair Municipality
140154,Bethel Park Municipality
140154,Upper St. Clair Municipality
140155,
141111,
141112,Marshall Township
